geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.97121414,40.75022392]}",74,75
"{""type"": ""Point"", ""coordinates"": [-73.95852515,40.7190095]}",73,61
"{""type"": ""Point"", ""coordinates"": [-74.00887308,40.70717936]}",73,78
"{""type"": ""Point"", ""coordinates"": [-73.95840794,40.76876203]}",72,73
"{""type"": ""Point"", ""coordinates"": [-73.97324283,40.6776147]}",72,66
"{""type"": ""Point"", ""coordinates"": [-73.97945255,40.66106337]}",72,73
"{""type"": ""Point"", ""coordinates"": [-74.00562789,40.71450451]}",72,87
"{""type"": ""Point"", ""coordinates"": [-74.01234218,40.70122128]}",71,75
"{""type"": ""Point"", ""coordinates"": [-73.99740189,40.75469175]}",71,68
"{""type"": ""Point"", ""coordinates"": [-73.95068615,40.77565541]}",71,69
"{""type"": ""Point"", ""coordinates"": [-73.96648977,40.76440023]}",71,74
"{""type"": ""Point"", ""coordinates"": [-73.98776323,40.71269042]}",70,68
"{""type"": ""Point"", ""coordinates"": [-73.99293911,40.71406667]}",70,71
"{""type"": ""Point"", ""coordinates"": [-73.9523,40.7987859]}",69,67
"{""type"": ""Point"", ""coordinates"": [-74.005549,40.717571]}",69,68
"{""type"": ""Point"", ""coordinates"": [-74.00234482,40.71494807]}",69,78
"{""type"": ""Point"", ""coordinates"": [-73.99203074,40.6902375]}",69,67
"{""type"": ""Point"", ""coordinates"": [-74.00504082,40.70831794]}",69,71
"{""type"": ""Point"", ""coordinates"": [-73.98562431,40.78057799]}",68,62
"{""type"": ""Point"", ""coordinates"": [-73.990539,40.69383]}",68,72
"{""type"": ""Point"", ""coordinates"": [-74.00838676,40.7037992]}",68,68
"{""type"": ""Point"", ""coordinates"": [-74.00653609,40.70955958]}",67,77
"{""type"": ""Point"", ""coordinates"": [-73.9739,40.7921]}",67,71
"{""type"": ""Point"", ""coordinates"": [-73.95856158,40.77314236]}",67,66
"{""type"": ""Point"", ""coordinates"": [-73.977112,40.7867947]}",66,60
"{""type"": ""Point"", ""coordinates"": [-73.98470567,40.7746671]}",66,55
"{""type"": ""Point"", ""coordinates"": [-73.98765762,40.70281858]}",65,52
"{""type"": ""Point"", ""coordinates"": [-73.98016555,40.71739973]}",65,66
"{""type"": ""Point"", ""coordinates"": [-74.00666661,40.71911552]}",65,65
"{""type"": ""Point"", ""coordinates"": [-73.94073717,40.75110165]}",65,75
"{""type"": ""Point"", ""coordinates"": [-74.00722156,40.70862144]}",64,62
"{""type"": ""Point"", ""coordinates"": [-73.957481,40.7857851]}",64,43
"{""type"": ""Point"", ""coordinates"": [-73.984844,40.713126]}",63,60
"{""type"": ""Point"", ""coordinates"": [-73.99337909,40.69239502]}",63,70
"{""type"": ""Point"", ""coordinates"": [-73.9842844,40.69221589]}",63,64
"{""type"": ""Point"", ""coordinates"": [-73.9521667,40.7806284]}",63,62
"{""type"": ""Point"", ""coordinates"": [-73.96063149,40.70924826]}",62,74
"{""type"": ""Point"", ""coordinates"": [-73.96526895,40.76312584]}",62,60
"{""type"": ""Point"", ""coordinates"": [-73.97523209,40.67514684]}",61,60
"{""type"": ""Point"", ""coordinates"": [-73.94965589,40.7811223]}",61,68
"{""type"": ""Point"", ""coordinates"": [-74.013942,40.701907]}",61,68
"{""type"": ""Point"", ""coordinates"": [-73.98261206,40.71622644]}",60,61
"{""type"": ""Point"", ""coordinates"": [-73.9567526,40.77573034]}",59,51
"{""type"": ""Point"", ""coordinates"": [-73.95212324,40.72311651]}",59,51
"{""type"": ""Point"", ""coordinates"": [-73.96264403,40.71260486]}",59,61
"{""type"": ""Point"", ""coordinates"": [-73.9999786,40.69165183]}",58,44
"{""type"": ""Point"", ""coordinates"": [-73.971518,40.766368]}",58,68
"{""type"": ""Point"", ""coordinates"": [-73.954692,40.805159]}",58,43
"{""type"": ""Point"", ""coordinates"": [-73.97111473,40.6750207]}",58,67
"{""type"": ""Point"", ""coordinates"": [-73.97041192,40.7973721]}",58,61
"{""type"": ""Point"", ""coordinates"": [-73.98451656,40.68841743]}",58,59
"{""type"": ""Point"", ""coordinates"": [-73.95242,40.71924]}",57,53
"{""type"": ""Point"", ""coordinates"": [-74.00552427,40.71146364]}",57,65
"{""type"": ""Point"", ""coordinates"": [-73.9550858,40.73232194]}",57,50
"{""type"": ""Point"", ""coordinates"": [-73.95451,40.74731]}",57,57
"{""type"": ""Point"", ""coordinates"": [-73.953559,40.787801]}",57,56
"{""type"": ""Point"", ""coordinates"": [-73.96023854,40.68900443]}",56,47
"{""type"": ""Point"", ""coordinates"": [-74.0090009,40.71870987]}",56,57
"{""type"": ""Point"", ""coordinates"": [-73.96784384,40.75206862]}",56,62
"{""type"": ""Point"", ""coordinates"": [-73.97363831,40.668132]}",55,60
"{""type"": ""Point"", ""coordinates"": [-73.96841526,40.70764494]}",55,53
"{""type"": ""Point"", ""coordinates"": [-73.94989233,40.7728384]}",55,55
"{""type"": ""Point"", ""coordinates"": [-73.97754961,40.7785669]}",55,55
"{""type"": ""Point"", ""coordinates"": [-73.97948148,40.71219906]}",54,48
"{""type"": ""Point"", ""coordinates"": [-73.98093133,40.78339981]}",54,59
"{""type"": ""Point"", ""coordinates"": [-73.9622207,40.76471852]}",54,54
"{""type"": ""Point"", ""coordinates"": [-73.96222088,40.773763]}",54,54
"{""type"": ""Point"", ""coordinates"": [-73.96295,40.802692]}",54,63
"{""type"": ""Point"", ""coordinates"": [-73.973984,40.730563]}",53,48
"{""type"": ""Point"", ""coordinates"": [-73.9488134,40.778301]}",53,53
"{""type"": ""Point"", ""coordinates"": [-73.9605909,40.7981856]}",53,44
"{""type"": ""Point"", ""coordinates"": [-73.96699104,40.804213]}",53,67
"{""type"": ""Point"", ""coordinates"": [-73.9707756,40.69795032]}",53,50
"{""type"": ""Point"", ""coordinates"": [-73.97574813,40.72368361]}",52,59
"{""type"": ""Point"", ""coordinates"": [-73.95772297,40.77112927]}",52,51
"{""type"": ""Point"", ""coordinates"": [-73.953149,40.809725]}",52,46
"{""type"": ""Point"", ""coordinates"": [-73.9125551,40.7747878]}",52,52
"{""type"": ""Point"", ""coordinates"": [-73.95299117,40.72708584]}",51,58
"{""type"": ""Point"", ""coordinates"": [-73.97628939,40.71782143]}",51,53
"{""type"": ""Point"", ""coordinates"": [-73.94434,40.72557]}",51,65
"{""type"": ""Point"", ""coordinates"": [-73.95141312,40.71167351]}",50,59
"{""type"": ""Point"", ""coordinates"": [-73.97839676,40.6703837]}",50,45
"{""type"": ""Point"", ""coordinates"": [-73.95095259,40.70877084]}",50,44
"{""type"": ""Point"", ""coordinates"": [-73.9607082,40.8067581]}",50,49
"{""type"": ""Point"", ""coordinates"": [-73.97484126,40.6711978]}",50,42
